task_type,input_text,aux_text,label
TONE_FORMALITY,they may help you.,,0.3826086956521739
STS,Syria tells Russia some troops have pulled out of Homs,Syria says troops have begun pullout – video,0.68
STS,Two dogs running through tall grass.,Two dogs are running through a grassy area.,0.9199999999999999
TONE_FORMALITY,when you ran out of 7 dominos.,,0.31304347826086953
TONE_POLARITY,"No problems. Fits the amp perfectly, and appears to be tough. Has no padding, so don't expect a lot of protection. It's mainly a dust cover.",,1.0
PAWS,Kurt Warnekros is portrayed by Sebastian Koch in the 2015 film `` The Danish Girl '' .,In the movie 2015 `` The Danish girl '' Sebastian Koch is portrayed by Kurt Warnekros .,0.0
TONE_FORMALITY,"""When the situation was bad, I took care of the garden more than when it's good,"" he said.",,0.41739130434782606
TONE_POLARITY,I would highly recommend not buying this. It's very cheaply made and comes apart even with one slight tug. I had this all of 5 days before it broke on me. Look elsewhere a little higher up in price range if you want a lasting adapter.,,0.0
PAWS,"Litwin wrote a story about and a song for the cat , and the two began a partnership , although the collaboration between Dean and Litwin ended in 2012 .","Dean wrote a story and a song for the cat , and the two began a partnership , although the collaboration between Litwin and Litwin ended in 2012 .",0.0
TONE_FORMALITY,"His longtime PR guru, the late Bob Jones, once told me that whatever kind of business contract Michael Jackson signed, he was instructed to announce it to the public by adding a zero.",,0.8
TONE_POLARITY,"Loved the quality and construction of these speakers, but not enough bass when installed in-ceiling. All my old albums sounded tinny, lost the deep bass.",,0.0
TONE_POLARITY,The Gleim CPA audio cd's are the best deal for the price you pay. I just passed the FAR section of the CPA exam and all I did was listen to the cd's on my way to work in the morning. I didn't use any other study materials. I highly recommend this product.,,1.0
PAWS,"After his wife died in 1842 , Martha Chardevoyne married Jack Shackelford .",Jack Shackelford married Martha Chardevoyne after his wife died in 1842 .,0.0
TONE_POLARITY,"I have always loved Steve Stevens' guitar playing with Billy Idol and believe that he is under-rated, but this album really bites the big one! The songwriting is downright amateurish and Stevens doesn't get a chance to shred the way he obviously can. I'd like to see what he could do in a Jeff Beck-Blow By Blow type of context. Here, it sounds like he has recycled songs that weren't good enough to make it onto a Motley Crue disc (and that ain't good!). The singer makes Vince Neil sound like Paul Rodgers. Save your money and get Rebel Yell by Billy Idol.",,0.0
TONE_FORMALITY,"Wow, how confusing.",,0.13043478260869568
STS,A close-up of a brown horse's head.,A side view of a horse's head.,0.68
TONE_FORMALITY,"A woman, any woman, will do.",,0.208695652173913
TONE_POLARITY,These pants are awesome! Very comfy and soft. I wear them for working out or even for around the house/for bed. Danskin makes the best yoga pants in my opinion!,,1.0
STS,Just so long as the tax on that sale is paid.,Just so long as the tax is paid.,0.76
STS,The brown and white dog is walking in shallow waters.,A white and brown dog appears to be walking on the water.,0.9199999999999999
PAWS,"Among the musicians of the recording session on March 7 were Hal Blaine ( drums ) , Al Casey ( guitar ) , Larry Knechtel ( bass ) and Don Randi ( piano ) .","The musicians of the recording session on 7 March included Larry Knechtel ( drums ) , Hal Blaine ( guitar ) , Don Randi ( bass ) and Al Casey ( piano ) .",0.0
TONE_FORMALITY,plus that would breake our by laws.,,0.2782608695652174
TONE_POLARITY,"I can remember when I was in my teens (it was like 1983-84) when I first heard the song ""Merlin the Magician"" it was being playing on a collage radio station at the time, & I was playing around with my tape deck & I had recorded the last minute & 15 sec. of the song. I ended up really liking the piece that I had recorded. & for 30 YEARS & I MEAN 30 YEARS I had wanted to know the name of the song & who does that song! I resent got myself an I-phone & I installed an app called ""Shazam"" (it listens to a song that is being played & it gives you the artist & song title)& when it showed me the title ""Merlin the Magician"" by Rick Wakeman, I said to my wife, ""I hope this is correct"" cause I been looking for such a very long time for the song title!!!& now I'm so glad that I have this CD now!!Ronald SchultzRonald815@yahoo.com",,1.0
STS,Israel faces European backlash over settlement plan,Israel called to account over latest settlement plans by European countries,0.7200000000000001
TONE_POLARITY,"This dictionary isn't too bad; however, beware! There are quite a few words that are translated into Serbo-Croatian and not Bosnian, such as biirth certificate. In Bosnian it is rodni list, but in this book it is krsni list, which to Bosnians is a substantial difference. If you know the Bosnian culture, the book is okay; however, if you're tryng to learn BOSNIAN, do not buy it.",,0.0
STS,Yellow striped cat resting on blue sofa.,An orange tabby cat sleeping on the sofa.,0.8
TONE_FORMALITY,my skin looks like a china doll.,,0.208695652173913
TONE_POLARITY,"We wanted to upgrade from our 1 MP camera and have been looking at the Minolta Dimage series for several months. We finally bought a Kodak DX3900 and it was an awful camera! We were able to get our money back and we immediately ordered the Minolta Dimage S404. We got it just in time for our Colorado vacation and the pictures are awesome! We now have beautiful mountain pictures that we can enlarge and print. I've already done some printing and the pictures look like 35mm photos. I have read that some people complain about having to process the pictures through special software. We tried this processing, but didn't see a difference. We have very vivid color just using our regular photo editor. It isn't time consuming to use the Minolta software though. I would highly recommend this camera to anyone. It's great for point and shoot and gives you more professional settings if you want to use them. We've had great luck with the auto settings so far.",,1.0
TONE_POLARITY,"Very hard to remove plastic to expose stickum, when I moved the rug all the tape stuck to the floor, had to be thrown out. also the rug moved and balled up rendering the tape useless",,0.0
TONE_FORMALITY,that ignorant who ever said that,,0.13913043478260867
PAWS,He was asked about his opinions on the books '' Mission to Moscow `` by Wendell Willkie and '' One World `` by Joseph E. Davies .,He was asked his opinion about the books `` Mission to Moscow '' by Joseph E. Davies and `` One World '' by Wendell Willkie .,0.0
PAWS,"The third season was premiered on June 7 , 2010 . Like the fourth season the system of the competition was in mixed couples .","The third season was premiered on 7 June 2010 , and like the fourth season was the system of competition in mixed pairs .",1.0
TONE_FORMALITY,"Only one figure in American history, casino magnate Bill Harrah, had put together anything approaching O'Quinn's collection, and it seemed fitting that a number of the late Harrah's cars now reside in one of O'Quinn's Houston warehouses.",,0.7304347826086957
PAWS,"The Ati are a central group in the Visayas , the ethnic part of the Philippine archipelago of Negrito .","The Ati are a central group in the Visayas , the Negrito ethnic portion of the Philippine archipelago .",1.0
TONE_POLARITY,"This is a really fantastic product. It is so small, sleek, and lightweight that it is easy to have it with me at all times. I find it invaluable for determining the size (and therefore the caloric consequences) of restaurant foods. Cannot recommend it highly enough. Go forth and weigh.",,1.0
TONE_POLARITY,Being that I have no formal training on computers and changing from Windows XP to 7 this book is really helpful. Sometimes I have to read it a couple times to follow but eventually I get it. Thanks for this book. And love the video coming with it.,,1.0
TONE_FORMALITY,"""The root of this is dispossession and deprivation,"" said Ramachandra Guha, a prominent historian based in Bangalore.",,0.6956521739130435
TONE_FORMALITY,yes he is LOL,,0.0
TONE_FORMALITY,"Adjunto su ""updated"" resume.",,0.6376811594203478
PAWS,Sanou has played in Burkino Faso for Centre Saint-Étienne Bobo and in France for Saint-Étienne B .,has played in Burkino Faso for the Centre Saint-Étienne Bobo and in France for Saint-Étienne B .,1.0
PAWS,"The single appeared in three versions : a Limited Edition , a Regular Edition and a Star Driver Edition .","The single was released in three versions : a regular edition , a limited edition , and a Star Driver edition .",1.0
STS,Ships Train for Syrian Chemical Weapons Transport,UN Adopts Syrian Chemical Weapons Resolution,0.36000000000000004
PAWS,There are two types of Hilbert R - Trees : one for dynamic databases and one for static databases .,"There are two types of Hilbert R-trees : one for static databases , and one for dynamic databases .",1.0
TONE_POLARITY,"Having just enjoyed the excellent film KITCHEN STORIES, I am inordinately pleased for two reasons.First was the film itself; I can't remember a movie I've ever seen that was told in such a deadpan manner, yet had such a good heart at its core. The inherent humor in the scenario of one man observing another is explored, not exploited, in an intelligent and witty fashion. I particularly enjoyed the fact that whole scenes would pass with no dialogue at all. Also noteworthy was the cinematography, which gave everything a handsome Nordic sheen.My second source of enjoyment were the reviews posted herein; it's rare to see so many good reviews so unanimous in their praise of a work, whether book, CD, or movie. I will safely assume that KITCHEN STORIES attracts viewers of only the highest caliber.",,1.0
TONE_POLARITY,"I think Beck went to his mother's attic and found her 60's LP's... and mixed them on this CD, with his cobainesque whiny 'vocals' & poorly disguised xerox repro of 60's Caetano Veloso.What a sorry excuse of a record. I paid $3.50 for it, and it should've been half that price.",,0.0
STS,A girl runs with dogs in a dry field.,A grey dog and a tan dog playing on a grassy field.,0.44000000000000006
TONE_POLARITY,"I first came across Nelly Furtado when she performed on Letterman or some other late night show. I was immediately intrigued by her apparent lack of any talent - her moves were amusingly awkward and her voice actually worse than the average person's. So much so that I had to check out this album. Well I guess it's passable music, but kudos to the sound engineers. If you see her live, you'll probably know what I mean.",,0.0
TONE_POLARITY,This book was absolutely terrible. I can't believe that this woman was actually awarded a PhD and then a professorship at any university. This book is the epitome of anti-academic writing.,,0.0
PAWS,The city of Oklahoma City has designated Santa Fe station as the location for intermodal transit for the city and the conurbation .,The City of Santa Fe has designated the Oklahoma City station as the location for intermodal transit services for the city and metropolitan area .,0.0
PAWS,"She reached Sydney on 4 January 1891 , was sold later that month to the New South Wales Government , then towed to Melbourne .","She reached Melbourne on January 4 , 1891 , was later this month sold to the government of New South Wales and then towed to Sydney .",0.0
STS,A person climbs up a snowy hill while their dog follows.,A person climbs a snowy hill while a black dog follows.,0.76
PAWS,Manager Nolan said that he expected Fitzsimons to challenge Adam Collin for a first team position .,Manager Kevin Nolan said that he expected Fitzsimons to challenge Adam Collin for a first team place .,1.0
STS,Monkeypox is usually found only in central and western Africa.,"Prairie dogs, usually found in southwestern and western states, aren’t indigenous to Wisconsin.",0.05
TONE_POLARITY,"ok, you can stop being intrigued by the whole ""produced by a monk from bhutan"" marketing scheme.. the main character has absolutely no depth or personality and the screenplay is painfully shallow and predictable.. im embarrassed for whoever is involved with and responsible for this release.watch the motorcycle diaries instead for some actual character development, an involving storyline and a REAL glimpse into your soul..",,0.0
STS,A white jeep parked in front of a store.,A white Jeep parked on a street.,0.7000000000000001
PAWS,"Dummer was born in Newbury , Massachusetts , where he was the first son of Richard Dummer and his second wife , Frances Burr .","Dummer was born in Newbury , Massachusetts , the second son of Richard Dummer and his first wife , Frances Burr .",0.0
TONE_FORMALITY,We also did some digging to see if people were taking inspiration from the movie Where the Wild Things Are and wearing a [max costume] this year.,,0.45217391304347826
STS,A black dog is running in the grass.,A boy running through green grass.,0.2
PAWS,This site was excavated in 1921 by Johan Gunnar Andersson and discovered in 1921 and produced two human teeth .,"This site was first discovered by Johan Gunnar Andersson in 1921 and was first excavated in 1921 , and produced two human teeth .",0.0
TONE_POLARITY,"And I quote Strong Bad in saying ""I like to say Holy Crap!"" What a lousy piece this is. I cannot recall much of the content on this album because it was quickly sold to some schmuck on the internet. All I have to say is that it's halarious that he would sing Unchained Melody after Clay. The problem with all of these sappy teen pop stars is that all theyc an do is ballads. If you have a good voice, as I give that Justin does, ballads are a piece of cake, but to write and sing a song that really get's people moving, that is so much more of a challenge. That is why Justin Timberlake is a sucess and Justin Guarini will be a blip on ""Remember the 00's"" on VH1 in 30 years.",,0.0
STS,Stomach bug to cause ailing Nadal to miss Australian Open,Rafa Nadal to miss Australian Open,0.68
TONE_FORMALITY,NO NO NO!,,0.034782608695652195
STS,A man is tying his shoe.,A dog is riding on a bicyclists shoulders.,0.0
STS,Gas cylinder blast on Pakistan school bus kills 17,Deadly Gas Cylinder Blast Hits Pakistan School Bus,0.76
PAWS,Sparrow convinces Turner that Elizabeth can be freed with the magic compass to find the chest .,Sparrow convinces Elizabeth that Turner can be freed by using the magic compass to find the chest .,0.0
STS,The man is standing on the shore hitting a ball with a paddle.,Two teenage girls are standing on beside the beach listening to ipods.,0.16000000000000003
STS,UN says US drones violate Pakistan's sovereignty,UN: US drone strikes violate Pakistan's sovereignty,0.8800000000000001
TONE_POLARITY,"This is a very cute game for any child who loves Build A Bear. That's exactly what you do: select a companion and ""build"" him/her just as you would at a store. Your child will need some reading skills or be prepared to read along with them as they play. The game is very easy to learn.",,1.0
TONE_POLARITY,"While I still think the second movie is the best, this is a nice ending to the best batman movie series so far (in my opinion). Christopher Nolan did a wonderful job of re-introducing this classic character and world).",,1.0
TONE_FORMALITY,"As they got closer, they found it was an Iraqi soldier.",,0.6608695652173913
TONE_POLARITY,This was delivered to me within the timeline that was stated. It was in good condition. Thanks!,,1.0
STS,"Stanford (46-15) plays South Carolina (44-20) today in a first-round game at Rosenblatt Stadium in Omaha, Neb.",Stanford (46-15) plays South Carolina (44-20) on Friday in the opening game of the double-elimination tournament.,0.6666000000000001
STS,Pakistani Taliban chief Hakimullah Mehsud killed in drone strike,"Pakistan Taliban vows revenge, to repay Hakimullah's killing in bloodshed",0.52
TONE_FORMALITY,"First, I would like to personally thank you for the audience you granted our TOO FAR trio on 23rd April.",,0.9391304347826086
STS,Rangers voted into Division Three,Rangers voted into third division,0.96
TONE_POLARITY,"I love to listen to Josh Young worship. ""Stay"" is a wonderful love song and ""Under Your Shadow"" is a great CD.",,1.0
STS,Ex-Virginia governor Bob McDonnell charged with corruption,"Virginia's ex-Gov. Bob McDonnell, wife charged with corruption",0.76
STS,"Prime Minister to seek nuclear deal, investments during Japan visit",Manmohan hopes to clinch nuclear deal with Japan,0.6000000000000001
STS,Seven peacekeepers killed in Sudan's Darfur,Peacekeeper killed in Abyei clash,0.32000000000000006
STS,officials state that decision about the treaty will depend on u.s. action on its plans to deploy missile defense systems in poland and the czech republic. ,russian military officials stated the decision would depend on whether the united states proceeds with its plan to deploy missile defense components in poland and the czech republic.,0.8
TONE_FORMALITY,"Choose good health, low cholesterol and dental insurance.",,0.6260869565217391
TONE_FORMALITY,don't treat them as if they are criminals.,,0.34782608695652173
TONE_FORMALITY,"""The Naxalites think we are helping the police. The police think we are helping the Naxalites. We are living in fear over who will kill us first.""",,0.41739130434782606
TONE_POLARITY,"An awesome book, nearly comparable to the Divine Office. If one is enrolled in the Order of the Brown Scapular, a MUST have. And from Amazon.com, a great price to meet your orderly requirement. ;)",,1.0
PAWS,"He visits Fred and makes him his new partner , then goes to the cratchit house , where he restores Bob and increases his reward .","He rehires Fred and makes him his new partner , then goes to the Cratchit house where he visits Bob and increases his wages .",0.0
TONE_FORMALITY,We can reduce those feelings by perceiving the events in a different way.,,0.9391304347826086
STS,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""",0.6400000000000001
STS,Two buses parked on a street.,Yellow scooter parked in an alley way.,0.08000000000000002
TONE_POLARITY,"Great graphics, great idea, great game play, but I beat it in 2 days after renting it from Blockbuster. Since there aren't enough missions and too easy I give it a 2 star rating. I prefered Hitman 2 it has more missions and is over all more fun since it takes longer to beat.",,0.0
TONE_FORMALITY,Cuyahoga County Coroner Frank Miller identified two bodies as black females and said one had died of a violent death ruled a homicide.,,0.7652173913043478
TONE_POLARITY,"These are great weights. The outside handles are extremely comfortable elastic and the weights, in my view, are not unduly wide (but I have average to large sized hands).I would, however, caution anyone planning on using these for kick boxing. The bean-bag style of these makes them very comfortable for this, but because the length is quite long, as you punch, they're going to shake a little. This will give you the feeling of some sort of a connection or oomph at the end of your punch, but you may find that you feel like you're waving a shaking instrument around or something.Still recommended for kick boxing, but just contemplate whether this is a sensation you're going to like.",,1.0
TONE_FORMALITY,"HBIF, which is a non - profit organization, provides bilingual services to help people start their own businesses, help struggling business owners who are at risk of closing their doors, and help successful business owners expand their businesses.",,0.9391304347826086
