task_type,input_text,aux_text,label
TONE_FORMALITY,"President Hamid Karzai's challenger plans to call for a boycott of next weekend's runoff election in an attempt to force the vote's postponement until spring, his campaign manager said - a move that would dim U.S. hopes for a stable Afghan government for months.",,2.2
TONE_FORMALITY,"ORHS is going thrugh it now, but from all I can perceive the district is out for the quick fix, chop off the principal, instead of really trying to assist the students and dig to the bottom to find the truth.",,1.0
TONE_FORMALITY,The first two bodies were found Thursday night when police went to Sowell's home to arrest him on charges of felonious assault and rape.,,0.2
TONE_FORMALITY,She was a minor and I never received any of the court papers.,,0.75
TONE_FORMALITY,"No one will be fully qualified for the executive Director position so the Board will find themselves in the position of compromising on the""least unqualified candidate ""and then he or she should be surrounded with a strong financial controller and an inhouse senior operations Deputy (Minimum senior management team of 3).",,2.2
TONE_FORMALITY,"""She's an emotional, deeply caring girl, the type who would care so much if this happened to another girl,"" Price said.",,-0.6
TONE_FORMALITY,Don't live where you play and don't play where you live.,,-1.6
TONE_FORMALITY,I am a citizen concerned about the youth of Florida.,,2.2
TONE_FORMALITY,"Message in a battle: Gov. Arnold Schwarzenegger's people are sticking to their story about that veto message for a bill sponsored by state Assemblyman Tom Ammiano, the one with a word puzzle that spelled out ""F- you.""",,0.4
TONE_FORMALITY,Using apparel as a springboard to athletic footwear?,,-0.8
TONE_FORMALITY,The event ushered in the end of Soviet communism and Germany's reunification.,,1.6
TONE_FORMALITY,"If you don't believe this story's true, Ask the blind man.",,-1.4
TONE_FORMALITY,"The discharge codes can be misused, he said, by classifying students who drop out of the system as having left the city.",,2.0
TONE_FORMALITY,http://www.english.uiuc.edu/maps/vietnam/timeline.htm there's a whole list http://www.landscaper.net/timelin.htm http://www.historyplace.com/unitedstates/vietnam/index-1965.html,,0.0
TONE_FORMALITY,"""I didn't expect it would be so hard to get around but you kind of get used to it.""",,-1.0
TONE_FORMALITY,"""We have fallen and we really want to get back up.""",,-0.8
TONE_FORMALITY,Most Americans believe that our Constitution has survived intact for more than 200 years without any significant change.,,2.6
TONE_FORMALITY,"Sir, my guess is that they,us,the electroate are not going to remember the judge in this case, but they will remember you had a chance to throw your weight into this.",,1.2
TONE_FORMALITY,But what finally worked was nature.,,-0.6
TONE_FORMALITY,"Six women found dead at a Cleveland, Ohio, home appeared to have been strangled, and their decomposing bodies could have been lying there for ""weeks, if not months or years,"" a coroner told CNN on Saturday.",,0.6
TONE_FORMALITY,Answering questions in my dressing gown.,,-0.2
TONE_FORMALITY,A successful move is all in the planning... good luck!,,-1.4
TONE_FORMALITY,yes i was them both on a game show and i heard that there married,,-1.8
TONE_FORMALITY,The previous six games for Notre Dame (6-2) were nerve-wrackers decided in the final minutes.,,-1.0
TONE_FORMALITY,Also got the message loud and clear that you were not satisfied with this increase:).,,-2.0
TONE_FORMALITY,Hundreds of thousands of votes were discounted from August's first round of voting.,,0.4
